state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
Illinois,2000-01-01,18470899.75050459,150123.15850356806,1
Illinois,2001-01-01,18749628.96972592,157521.3510324317,1
Illinois,2002-01-01,19137070.691615574,167543.28234037836,1
Illinois,2003-01-01,20013318.2253549,176867.99028439788,1
Illinois,2004-01-01,20704190.833759416,185155.52894259585,1
Illinois,2005-01-01,20827319.104011413,194689.3014948638,1
Illinois,2006-01-01,21284605.417148992,204878.9018871801,1
Illinois,2007-01-01,21562422.882986248,207232.1801331454,1
Illinois,2008-01-01,22275021.18438728,200346.58246906608,1
Illinois,2009-01-01,23737621.457564093,178981.53169245686,1
Illinois,2010-01-01,24185392.170866083,160466.51028772016,1
Illinois,2011-01-01,23806122.836575534,146323.55757659668,1
Illinois,2012-01-01,23510114.558931652,131940.25598213324,1
Illinois,2013-01-01,23353450.00134256,128284.29285918978,1
Illinois,2014-01-01,23788643.32130984,138502.52575073004,1
Illinois,2015-01-01,23951651.640545465,145461.58081102045,1
Illinois,2016-01-01,23933484.0,151808.45846992245,1
Indiana,2000-01-01,8245306.225844493,125615.79839133653,1
Indiana,2001-01-01,8481883.97141383,126112.08720651949,1
Indiana,2002-01-01,8763546.86394101,127384.2452450807,1
Indiana,2003-01-01,9160490.535201048,126461.64921637908,1
Indiana,2004-01-01,9472769.10786035,125846.54974585192,1
Indiana,2005-01-01,9938129.291610021,126563.81248328245,1
Indiana,2006-01-01,9709369.190579476,129144.95946856745,1
Indiana,2007-01-01,9779897.07207429,128697.00554598316,1
Indiana,2008-01-01,9380111.795217946,127045.48477945157,1
Indiana,2009-01-01,9609350.682122024,123465.30611163082,1
Indiana,2010-01-01,9726483.777711665,119722.72804377225,1
Indiana,2011-01-01,9212313.964832332,115103.60034850767,1
Indiana,2012-01-01,9056059.79417517,111017.68516709357,1
Indiana,2013-01-01,8735093.334416363,111318.17657227334,1
Indiana,2014-01-01,8577576.52787937,112967.5874115609,1
Indiana,2015-01-01,8574991.126461405,116487.60111701135,1
Indiana,2016-01-01,8643916.0,120669.78950711794,1
Iowa,2000-01-01,4158791.02347812,105149.14100556314,1
Iowa,2001-01-01,4113278.6214201003,107667.08854280028,1
Iowa,2002-01-01,4095564.889645315,110746.86590488227,1
Iowa,2003-01-01,4293635.725700216,113049.9343302978,1
Iowa,2004-01-01,4451482.84227085,114798.83033455435,1
Iowa,2005-01-01,4487865.168554664,115465.5806303776,1
Iowa,2006-01-01,4586693.079664889,117919.15580746681,1
Iowa,2007-01-01,4677979.615996211,117870.99974020662,1
Iowa,2008-01-01,4875991.624034334,117353.69422851564,1
Iowa,2009-01-01,5097912.878350704,115541.93822227155,1
Iowa,2010-01-01,5110056.03080105,113009.52456333183,1
Iowa,2011-01-01,5079398.07312918,109398.55829678255,1
Iowa,2012-01-01,5106831.6661042785,105863.5806778135,1
Iowa,2013-01-01,5202242.610202887,108832.93077153369,1
Iowa,2014-01-01,5308144.901298449,112248.96058970239,1
Iowa,2015-01-01,5435767.25927412,115700.69711658104,1
Iowa,2016-01-01,5517359.0,122906.28032445068,1
Kansas,2000-01-01,3766567.4401480057,99574.21141291503,1
Kansas,2001-01-01,3908011.56543732,101273.56413957088,1
Kansas,2002-01-01,4069026.241365895,106147.91873036572,1
Kansas,2003-01-01,4106601.5877982113,106711.23846372984,1
Kansas,2004-01-01,4112536.8092260645,106770.54665099668,1
Kansas,2005-01-01,4089913.0927166683,110787.13169646802,1
Kansas,2006-01-01,4265496.896330479,110334.70328165645,1
Kansas,2007-01-01,4490928.27529002,111342.4309265502,1
Kansas,2008-01-01,4711981.414099901,111833.97712033213,1
Kansas,2009-01-01,4837943.376381287,110741.91801341194,1
Kansas,2010-01-01,4678181.174882839,109609.23124534375,1
Kansas,2011-01-01,4596635.80262855,105097.93956285426,1
