state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
Connecticut,2000-01-01,6387389.92040861,216175.25783374818,1
Connecticut,2001-01-01,6662703.726890036,228055.14578174567,1
Connecticut,2002-01-01,6970119.666964382,246753.91230049377,1
Connecticut,2003-01-01,7187721.829991549,270795.5472459236,1
Connecticut,2004-01-01,7343115.758270392,294958.33242287405,1
Connecticut,2005-01-01,7408143.238624626,322475.76294276456,1
Connecticut,2006-01-01,7666828.076957619,348681.7653586351,1
Connecticut,2007-01-01,7870292.364813775,346734.5555959786,1
Connecticut,2008-01-01,8129152.336553686,331429.4526973497,1
Connecticut,2009-01-01,8635513.560642015,302385.8135043336,1
Connecticut,2010-01-01,8703586.107151484,279192.55072656774,1
Connecticut,2011-01-01,8403752.627260417,264082.1072044435,1
Connecticut,2012-01-01,8351809.780697819,242740.3763381631,1
Connecticut,2013-01-01,8323853.796541337,236045.47387409306,1
Connecticut,2014-01-01,8477689.73890668,238899.40491111384,1
Connecticut,2015-01-01,8595713.74611604,238939.3711198085,1
Connecticut,2016-01-01,8687640.0,241392.90722897317,1
Maine,2000-01-01,2026358.8658769368,128708.42493895737,1
Maine,2001-01-01,2070439.4838813248,136998.4397332905,1
Maine,2002-01-01,2126030.7409887672,150739.62325771162,1
Maine,2003-01-01,2200482.2466071895,165815.49943413443,1
Maine,2004-01-01,2255535.3411391336,181833.83828056743,1
Maine,2005-01-01,2270615.9077295763,201796.9757583498,1
Maine,2006-01-01,2306185.4078707583,211944.32503592074,1
Maine,2007-01-01,2340029.039182398,208480.75409648122,1
Maine,2008-01-01,2367032.978609892,202558.95456190305,1
Maine,2009-01-01,2453091.5516860452,190672.04664851696,1
Maine,2010-01-01,2426369.17614416,177039.0395976197,1
Maine,2011-01-01,2389879.6802165275,170071.62395518494,1
Maine,2012-01-01,2291995.0507764965,164712.0421737778,1
Maine,2013-01-01,2205612.1788870483,162882.61180449466,1
Maine,2014-01-01,2223887.8102491237,166483.61788495295,1
Maine,2015-01-01,2284546.351766235,168681.29480299863,1
Maine,2016-01-01,2290535.0,177693.3433258301,1
Massachusetts,2000-01-01,10415140.700757291,253208.23273048704,1
Massachusetts,2001-01-01,10976576.231606057,280323.9806911162,1
Massachusetts,2002-01-01,11586903.556617169,317726.48748995207,1
Massachusetts,2003-01-01,11787546.628022194,355125.315532675,1
Massachusetts,2004-01-01,11893197.955814958,383855.1229108839,1
Massachusetts,2005-01-01,12068342.207305863,409197.2109983046,1
Massachusetts,2006-01-01,12230354.340914568,416928.3464564769,1
Massachusetts,2007-01-01,12417549.138924226,388199.28651652625,1
Massachusetts,2008-01-01,12925600.408652117,364669.177834986,1
Massachusetts,2009-01-01,13605756.813440213,334812.2426323438,1
Massachusetts,2010-01-01,13248599.701433277,322362.8881355819,1
Massachusetts,2011-01-01,13020849.43340359,313425.4602143172,1
Massachusetts,2012-01-01,13342992.648604995,293269.00078071683,1
Massachusetts,2013-01-01,13415999.113160707,296892.7453798261,1
