state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
Alabama,2000-01-01,5430164.8908297075,106425.86986612777,1
Alabama,2001-01-01,5487005.842809684,108112.99022403092,1
Alabama,2002-01-01,5576575.715615033,110015.34246589456,1
Alabama,2003-01-01,5669021.113403322,110635.5832158667,1
Alabama,2004-01-01,5715963.428082066,111159.30100587018,1
Alabama,2005-01-01,5951621.554256687,112950.94823745228,1
Alabama,2006-01-01,6421525.280565737,115727.41554517153,1
Alabama,2007-01-01,6967551.441599253,121134.64295551996,1
Alabama,2008-01-01,7471373.402955807,121057.1074405873,1
Alabama,2009-01-01,7376747.42580384,117595.48722432564,1
Alabama,2010-01-01,7228343.092290219,110960.67457711515,1
Alabama,2011-01-01,7101175.736549427,103651.71451586466,1
Alabama,2012-01-01,6667651.092434418,98215.16356467242,1
Alabama,2013-01-01,6715240.721173817,106041.11198480555,1
Alabama,2014-01-01,6733180.169946481,109246.63664333355,1
Alabama,2015-01-01,6711725.9259632975,116158.72493494324,1
Alabama,2016-01-01,6589889.999999999,119590.57657576224,1
Arkansas,2000-01-01,3149664.332665105,95373.31579562752,1
Arkansas,2001-01-01,3248692.6365210256,97468.49119754074,1
Arkansas,2002-01-01,3364678.040150988,99242.28991606933,1
Arkansas,2003-01-01,3509941.3288684394,101059.50629129467,1
Arkansas,2004-01-01,3623070.7856128886,103139.84297686872,1
Arkansas,2005-01-01,3988073.8260336365,106422.53358443388,1
Arkansas,2006-01-01,4142189.840503021,111848.44765836354,1
Arkansas,2007-01-01,4244922.10852006,114150.8506064925,1
Arkansas,2008-01-01,4307304.559544778,113112.85831192147,1
Arkansas,2009-01-01,4661481.967687339,110359.02734179157,1
Arkansas,2010-01-01,4926248.264215514,105811.04800078893,1
Arkansas,2011-01-01,4964915.553859151,101630.74971668016,1
Arkansas,2012-01-01,4463225.606455639,98481.18535138413,1
Arkansas,2013-01-01,4387937.903094081,100546.56591604778,1
Arkansas,2014-01-01,4385819.206414059,101616.19289027154,1
Arkansas,2015-01-01,4398893.910433936,104349.64542535388,1
Arkansas,2016-01-01,4411761.0,109245.5736005382,1
Delaware,2000-01-01,1240442.6564265427,183415.78400361663,1
Delaware,2001-01-01,1292199.8406013192,189416.018556502,1
Delaware,2002-01-01,1350242.4717781737,197819.55944159575,1
Delaware,2003-01-01,1414001.8346934575,209690.47092377927,1
Delaware,2004-01-01,1464579.4240190063,225730.11513110183,1
Delaware,2005-01-01,1528374.4613891523,253387.75334945813,1
Delaware,2006-01-01,1607673.6192922147,277648.456758576,1
Delaware,2007-01-01,1549345.8864019818,288105.1350478148,1
Delaware,2008-01-01,1635011.0074060499,281681.37166672415,1
Delaware,2009-01-01,1598659.4863834106,261244.72697879863,1
Delaware,2010-01-01,1609317.7315699507,245118.96555950024,1
Delaware,2011-01-01,1653316.9462201572,230390.90755104122,1
Delaware,2012-01-01,1770008.9221062164,210557.01997071915,1
Delaware,2013-01-01,1740480.6268540935,204830.27156052057,1
Delaware,2014-01-01,1755927.8543167424,212233.45921982062,1
Delaware,2015-01-01,1782574.5496130453,217708.73829008732,1
Delaware,2016-01-01,1832384.9999999998,227460.99627875528,1
District of Columbia,2000-01-01,1104897.7101287355,203641.28881739915,1
District of Columbia,2001-01-01,1207013.1774000046,215039.0738070003,1
District of Columbia,2002-01-01,1313007.975677249,239428.3111184242,1
District of Columbia,2003-01-01,1375156.3125080343,274740.9873612193,1
District of Columbia,2004-01-01,1424478.647224924,309592.2074003922,1
District of Columbia,2005-01-01,1466684.3431652752,362910.0681764386,1
District of Columbia,2006-01-01,1464729.337500107,417141.0820491725,1
District of Columbia,2007-01-01,1410829.6666728978,413352.8958593063,1
District of Columbia,2008-01-01,1827348.1155998318,409280.67904397275,1
District of Columbia,2009-01-01,1942534.3417961877,385421.2116100913,1
District of Columbia,2010-01-01,2085475.1238067648,366306.4886104732,1
District of Columbia,2011-01-01,2003187.7187687405,363624.53400937223,1
District of Columbia,2012-01-01,2095345.251060796,353402.36712889763,1
District of Columbia,2013-01-01,2085416.9524168053,380470.9735868247,1
District of Columbia,2014-01-01,2099688.326297206,422244.835174668,1
District of Columbia,2015-01-01,2173622.7148636156,451592.9211815488,1
District of Columbia,2016-01-01,2290288.0,480270.20751080447,1
Florida,2000-01-01,17964447.24859486,140498.19192921562,1
Florida,2001-01-01,18575748.775788005,146458.56348065275,1
Florida,2002-01-01,19282340.297758386,158542.18232544156,1
Florida,2003-01-01,20402191.925358787,171641.11925702496,1
Florida,2004-01-01,21322872.687121794,188111.06790539096,1
Florida,2005-01-01,22456778.789385673,215259.70501347093,1
Florida,2006-01-01,23608536.068969898,266351.5415752141,1
Florida,2007-01-01,25201765.976356413,281530.0395581858,1
Florida,2008-01-01,25914979.454762522,243573.1279037606,1
Florida,2009-01-01,24923413.013830584,190457.46952672623,1
Florida,2010-01-01,24565100.653021142,159431.61133996685,1
Florida,2011-01-01,24726052.57069251,144216.7923762979,1
Florida,2012-01-01,22944067.666694477,132116.52193878748,1
Florida,2013-01-01,22879365.717826728,138720.66362858744,1
Florida,2014-01-01,23612051.11711967,157329.08540297102,1
Florida,2015-01-01,24053837.577851053,171165.41316398236,1
Florida,2016-01-01,24222830.0,186698.27752433447,1
Georgia,2000-01-01,11993971.400994258,154471.56587492515,1
