state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
Alaska,2000-01-01,1535644.3657404536,172230.19801925574,1
Alaska,2001-01-01,1575122.9394772095,174166.74769623938,1
Alaska,2002-01-01,1623137.9721864432,204633.89496125132,1
Alaska,2003-01-01,1648051.41682186,209338.67754516524,1
Alaska,2004-01-01,1659825.1908432771,218553.88424424067,1
Alaska,2005-01-01,1712028.569198658,229991.6227911333,1
Alaska,2006-01-01,1769339.6140667384,244447.1075063235,1
Alaska,2007-01-01,1837438.348019174,255685.71880092073,1
Alaska,2008-01-01,2125521.924987561,260388.4076113304,1
Alaska,2009-01-01,2311399.8662579414,258872.55358333656,1
Alaska,2010-01-01,2372208.202503124,255081.69431797587,1
Alaska,2011-01-01,2366498.446087103,250079.51185318056,1
Alaska,2012-01-01,2225954.131883937,243226.6743848792,1
Alaska,2013-01-01,2288897.002941869,250830.5378316386,1
Alaska,2014-01-01,2247019.1977645014,251714.4005512306,1
Alaska,2015-01-01,2356007.42238108,256633.6061594167,1
Alaska,2016-01-01,2074993.0,263834.7178371938,1
Arizona,2000-01-01,5672795.467379671,175261.52707721814,1
Arizona,2001-01-01,5867947.612247684,180523.06085797166,1
Arizona,2002-01-01,6093124.091006452,187153.91713460948,1
Arizona,2003-01-01,6510787.991810184,193162.2192083128,1
Arizona,2004-01-01,6862178.128976023,199844.56157144767,1
Arizona,2005-01-01,7096564.0953499125,223412.72747825895,1
Arizona,2006-01-01,7464294.567330803,301795.32470798853,1
Arizona,2007-01-01,7791248.018624003,302106.8429125281,1
Arizona,2008-01-01,8251364.300906809,271320.459970747,1
Arizona,2009-01-01,8386651.764543419,203031.02754513692,1
Arizona,2010-01-01,8123622.65611025,172025.84093248905,1
Arizona,2011-01-01,7644123.195224449,150946.21576198077,1
Arizona,2012-01-01,7366383.59734924,138341.38972803063,1
Arizona,2013-01-01,6936886.03534609,160873.90352147323,1
Arizona,2014-01-01,7207825.020361255,182946.82456374465,1
Arizona,2015-01-01,7096546.296078591,189538.22829939137,1
Arizona,2016-01-01,7137123.0,204881.7902859564,1
California,2000-01-01,49680316.75236214,252442.41485940706,1
California,2001-01-01,54373024.23428767,279126.6680049308,1
California,2002-01-01,59237107.87770415,308682.55812099896,1
California,2003-01-01,60319588.94226257,348674.12619059306,1
California,2004-01-01,60913473.7793219,396963.407474092,1
California,2005-01-01,61257563.56365611,480689.1948279173,1
California,2006-01-01,62142892.4612518,545925.1831416007,1
California,2007-01-01,65353718.87584889,541365.8054940918,1
California,2008-01-01,67302416.69705597,477666.5852105564,1
California,2009-01-01,65937781.248877466,359866.2141051596,1
California,2010-01-01,62790461.57223887,331430.210755393,1
California,2011-01-01,60321589.1195379,317220.6969743692,1
California,2012-01-01,60323143.16795439,292022.63453623967,1
California,2013-01-01,59279640.14239042,314447.325757933,1
California,2014-01-01,60232345.826938,374282.89628365,1
California,2015-01-01,65200239.68273288,403760.768039681,1
California,2016-01-01,68892072.0,421547.3195172169,1
Colorado,2000-01-01,5623373.832258108,234337.83375664952,1
Colorado,2001-01-01,5946982.015774467,256056.5395111573,1
Colorado,2002-01-01,6296359.55470607,274397.4968941147,1
Colorado,2003-01-01,6524442.921035935,277463.44992235873,1
Colorado,2004-01-01,6694683.605217199,273870.445208874,1
Colorado,2005-01-01,6837204.825709931,272433.00437647715,1
Colorado,2006-01-01,7069334.530065423,272067.9094488698,1
Colorado,2007-01-01,7062278.419828754,267174.1995473847,1
Colorado,2008-01-01,7713414.17203938,259914.80140689356,1
Colorado,2009-01-01,7526511.17077782,247266.62450777748,1
Colorado,2010-01-01,7663392.374805698,241528.81195928447,1
Colorado,2011-01-01,7464370.128601689,230004.23459381514,1
Colorado,2012-01-01,7237199.033128961,220396.61673081468,1
Colorado,2013-01-01,7286005.151880198,232563.93147239336,1
Colorado,2014-01-01,7554960.073594237,248191.17220494253,1
Colorado,2015-01-01,7766631.196073367,269301.4901593457,1
Colorado,2016-01-01,8060420.0,302941.4248126024,1
Hawaii,2000-01-01,1291687.0429805527,239242.64995096487,1
Hawaii,2001-01-01,1497379.423697732,246427.8761248581,1
Hawaii,2002-01-01,1704958.0760010958,257222.5501136167,1
Hawaii,2003-01-01,1839321.5262081416,278116.436621123,1
