,state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
0,Alabama,2000-01-01,5430164.8908297075,106425.86986612777,1
1,Alabama,2001-01-01,5487005.842809684,108112.99022403092,1
2,Alabama,2002-01-01,5576575.715615033,110015.34246589456,1
3,Alabama,2003-01-01,5669021.113403322,110635.5832158667,1
4,Alabama,2004-01-01,5715963.428082066,111159.30100587018,1
5,Alabama,2005-01-01,5951621.554256687,112950.94823745228,1
6,Alabama,2006-01-01,6421525.280565737,115727.41554517153,1
7,Alabama,2007-01-01,6967551.441599253,121134.64295551996,1
8,Alabama,2008-01-01,7471373.402955807,121057.1074405873,1
9,Alabama,2009-01-01,7376747.42580384,117595.48722432564,1
10,Alabama,2010-01-01,7228343.092290219,110960.67457711515,1
11,Alabama,2011-01-01,7101175.736549427,103651.71451586466,1
12,Alabama,2012-01-01,6667651.092434418,98215.16356467242,1
13,Alabama,2013-01-01,6715240.721173817,106041.11198480555,1
14,Alabama,2014-01-01,6733180.169946481,109246.63664333355,1
15,Alabama,2015-01-01,6711725.9259632975,116158.72493494324,1
16,Alabama,2016-01-01,6589889.999999999,119590.57657576224,1
17,Alaska,2000-01-01,1535644.3657404536,172230.19801925574,1
18,Alaska,2001-01-01,1575122.9394772095,174166.74769623938,1
19,Alaska,2002-01-01,1623137.9721864432,204633.89496125132,1
20,Alaska,2003-01-01,1648051.41682186,209338.67754516524,1
21,Alaska,2004-01-01,1659825.1908432771,218553.88424424067,1
22,Alaska,2005-01-01,1712028.569198658,229991.6227911333,1
23,Alaska,2006-01-01,1769339.6140667384,244447.1075063235,1
24,Alaska,2007-01-01,1837438.348019174,255685.71880092073,1
25,Alaska,2008-01-01,2125521.924987561,260388.4076113304,1
26,Alaska,2009-01-01,2311399.8662579414,258872.55358333656,1
27,Alaska,2010-01-01,2372208.202503124,255081.69431797587,1
28,Alaska,2011-01-01,2366498.446087103,250079.51185318056,1
29,Alaska,2012-01-01,2225954.131883937,243226.6743848792,1
30,Alaska,2013-01-01,2288897.002941869,250830.5378316386,1
31,Alaska,2014-01-01,2247019.1977645014,251714.4005512306,1
32,Alaska,2015-01-01,2356007.42238108,256633.6061594167,1
33,Alaska,2016-01-01,2074993.0,263834.7178371938,1
34,Arizona,2000-01-01,5672795.467379671,175261.52707721814,1
35,Arizona,2001-01-01,5867947.612247684,180523.06085797166,1
36,Arizona,2002-01-01,6093124.091006452,187153.91713460948,1
37,Arizona,2003-01-01,6510787.991810184,193162.2192083128,1
38,Arizona,2004-01-01,6862178.128976023,199844.56157144767,1
39,Arizona,2005-01-01,7096564.0953499125,223412.72747825895,1
40,Arizona,2006-01-01,7464294.567330803,301795.32470798853,1
